No,Year,Team,Sport,Gold,Silver,Bronze,Participants,Total Gold,Total Silver,Total Bronze,Total Participants,weighted_score_numerator,weighted_score_denominator,adv
39,1900,Fantlet-7,Sailing,1.0,0.0,0.0,1,12.0,11.0,13.0,57,8.0,235.0,0.03404255319148936
40,1900,Femur-1,Sailing,1.0,0.0,0.0,1,12.0,11.0,13.0,57,8.0,235.0,0.03404255319148936
41,1900,Foxhunters Hurlingham,Polo,1.0,0.0,0.0,1,1.0,1.0,2.0,5,8.0,23.0,0.34782608695652173
42,1900,France,Archery,4.0,5.0,4.0,10,7.0,8.0,5.0,15,75.0,119.0,0.6302521008403361
43,1900,France,Croquet,3.0,2.0,2.0,6,3.0,2.0,2.0,6,43.0,43.0,1.0
44,1900,France,Cycling,2.0,1.0,2.0,7,3.0,3.0,3.0,17,32.0,62.0,0.5161290322580645
45,1900,France,Equestrianism,2.0,1.0,3.0,9,6.0,4.0,5.0,28,37.0,105.0,0.3523809523809524
46,1900,France,Fencing,5.0,5.0,5.0,18,7.0,7.0,7.0,51,93.0,156.0,0.5961538461538461
47,1900,France,Gymnastics,1.0,1.0,1.0,4,1.0,1.0,1.0,11,19.0,26.0,0.7307692307692307
48,1900,France,Rowing,1.0,1.0,0.0,3,5.0,5.0,5.0,26,15.0,101.0,0.1485148514851485
49,1900,France,Shooting,2.0,2.0,2.0,6,8.0,9.0,8.0,26,36.0,151.0,0.23841059602649006
50,1900,France,Swimming,1.0,1.0,1.0,8,7.0,7.0,7.0,35,23.0,140.0,0.16428571428571428
51,1900,"Germania Ruder Club, Hamburg-2",Rowing,1.0,0.0,0.0,1,5.0,5.0,5.0,26,8.0,101.0,0.07920792079207921
52,1900,Germany,Swimming,1.0,0.0,0.0,4,7.0,7.0,7.0,35,11.0,140.0,0.07857142857142857
53,1900,Great Britain,Athletics,3.0,3.0,2.0,7,23.0,23.0,22.0,87,49.0,429.0,0.11421911421911422
54,1900,Great Britain,Swimming,2.0,0.0,1.0,5,7.0,7.0,7.0,35,22.0,140.0,0.15714285714285714
55,1900,Great Britain,Tennis,3.0,1.0,1.0,5,4.0,4.0,7.0,17,34.0,86.0,0.3953488372093023
56,1900,Great Britain-1,Tennis,1.0,0.0,0.0,1,4.0,4.0,7.0,17,8.0,86.0,0.09302325581395349
57,1900,Hungary,Athletics,1.0,0.0,1.0,7,23.0,23.0,22.0,87,17.0,429.0,0.039627039627039624
58,1900,Italy,Cycling,1.0,0.0,0.0,3,3.0,3.0,3.0,17,10.0,62.0,0.16129032258064516
59,1900,Italy,Equestrianism,1.0,1.0,0.0,3,6.0,4.0,5.0,28,15.0,105.0,0.14285714285714285
60,1900,Italy,Fencing,1.0,1.0,0.0,5,7.0,7.0,7.0,51,17.0,156.0,0.10897435897435898
61,1900,Lerina,Sailing,1.0,1.0,0.0,1,12.0,11.0,13.0,57,13.0,235.0,0.05531914893617021
62,1900,Luxembourg,Athletics,1.0,0.0,0.0,1,23.0,23.0,22.0,87,8.0,429.0,0.018648018648018648
63,1900,Minerva Amsterdam,Rowing,1.0,1.0,1.0,2,5.0,5.0,5.0,26,17.0,101.0,0.16831683168316833
64,1900,Olle,Sailing,1.0,0.0,0.0,1,12.0,11.0,13.0,57,8.0,235.0,0.03404255319148936
65,1900,"Osborne Swimming Club, Manchester",Water Polo,1.0,0.0,0.0,1,1.0,1.0,2.0,7,8.0,25.0,0.32
66,1900,Scotia,Sailing,2.0,0.0,0.0,1,12.0,11.0,13.0,57,15.0,235.0,0.06382978723404255
67,1900,Spain,Basque Pelota,1.0,0.0,0.0,1,1.0,0.0,0.0,1,8.0,8.0,1.0
68,1900,Switzerland,Shooting,5.0,1.0,1.0,6,8.0,9.0,8.0,26,49.0,151.0,0.32450331125827814
69,1900,Union des Socits Franais de Sports Athletiques,Rugby,1.0,0.0,0.0,1,1.0,2.0,0.0,3,8.0,20.0,0.4
70,1900,United States,Athletics,16.0,13.0,10.0,26,23.0,23.0,22.0,87,233.0,429.0,0.5431235431235432
71,1900,United States,Golf,2.0,1.0,1.0,6,2.0,2.0,2.0,12,28.0,42.0,0.6666666666666666
72,1900,Upton Park FC,Football,1.0,0.0,0.0,1,1.0,1.0,1.0,3,8.0,18.0,0.4444444444444444
73,1900,Vesper Boat Club,Rowing,1.0,0.0,0.0,1,5.0,5.0,5.0,26,8.0,101.0,0.07920792079207921
74,1904,Atalanta Boat Club-1,Rowing,1.0,0.0,0.0,1,5.0,5.0,4.0,14,8.0,86.0,0.09302325581395349
75,1904,Austria,Gymnastics,1.0,1.0,0.0,1,12.0,10.0,12.0,29,13.0,199.0,0.06532663316582915
76,1904,Canada,Athletics,1.0,0.0,0.0,5,24.0,24.0,23.0,74,12.0,431.0,0.027842227378190254
77,1904,Canada,Golf,1.0,0.0,0.0,2,2.0,2.0,2.0,9,9.0,39.0,0.23076923076923078
78,1904,Century Boat Club-1,Rowing,1.0,0.0,0.0,1,5.0,5.0,4.0,14,8.0,86.0,0.09302325581395349
79,1904,Cincinnati Archers,Archery,1.0,1.0,0.0,2,6.0,5.0,5.0,10,14.0,92.0,0.15217391304347827
80,1904,Cuba,Fencing,4.0,0.0,0.0,2,6.0,5.0,4.0,11,30.0,90.0,0.3333333333333333
81,1904,Galt Football Club,Football,1.0,0.0,0.0,1,1.0,1.0,1.0,3,8.0,18.0,0.4444444444444444
82,1904,Germany,Swimming,4.0,2.0,2.0,4,10.0,10.0,10.0,19,48.0,169.0,0.28402366863905326
83,1904,Great Britain,Athletics,1.0,1.0,0.0,3,24.0,24.0,23.0,74,15.0,431.0,0.03480278422273782
84,1904,Greece,Weightlifting,1.0,0.0,0.0,1,2.0,2.0,2.0,5,8.0,35.0,0.22857142857142856
85,1904,Hungary,Swimming,2.0,1.0,1.0,2,10.0,10.0,10.0,19,24.0,169.0,0.14201183431952663
86,1904,Milwaukee Athletic Club-1,Tug-Of-War,1.0,0.0,0.0,1,1.0,1.0,1.0,6,8.0,21.0,0.38095238095238093
87,1904,New York Athletic Club,Athletics,1.0,0.0,0.0,1,24.0,24.0,23.0,74,8.0,431.0,0.018561484918793503
88,1904,New York Athletic Club #1-1,Swimming,1.0,0.0,0.0,1,10.0,10.0,10.0,19,8.0,169.0,0.047337278106508875
89,1904,New York Athletic Club-1,Water Polo,1.0,0.0,0.0,1,1.0,1.0,1.0,3,8.0,18.0,0.4444444444444444
90,1904,Norway,Wrestling,2.0,0.0,0.0,2,7.0,7.0,7.0,30,16.0,135.0,0.11851851851851852
91,1904,"Philadelphia Turngemeinde, Philadelphia",Gymnastics,1.0,0.0,0.0,1,12.0,10.0,12.0,29,8.0,199.0,0.04020100502512563
92,1904,Potomac Archers,Archery,1.0,0.0,0.0,1,6.0,5.0,5.0,10,8.0,92.0,0.08695652173913043
93,1904,Seawanhaka Boat Club-1,Rowing,1.0,0.0,0.0,1,5.0,5.0,4.0,14,8.0,86.0,0.09302325581395349
94,1904,Switzerland,Gymnastics,1.0,0.0,1.0,2,12.0,10.0,12.0,29,12.0,199.0,0.06030150753768844
95,1904,United States,Archery,4.0,4.0,4.0,8,6.0,5.0,5.0,10,68.0,92.0,0.7391304347826086
96,1904,United States,Athletics,21.0,21.0,21.0,54,24.0,24.0,23.0,74,369.0,431.0,0.8561484918793504
97,1904,United States,Boxing,7.0,7.0,4.0,16,7.0,7.0,4.0,16,112.0,112.0,1.0
98,1904,United States,Cycling,7.0,7.0,7.0,7,7.0,7.0,7.0,8,112.0,113.0,0.9911504424778761
99,1904,United States,Diving,1.0,0.0,1.0,2,1.0,1.0,1.0,4,12.0,19.0,0.631578947368421
100,1904,United States,Fencing,2.0,5.0,4.0,7,6.0,5.0,4.0,11,58.0,90.0,0.6444444444444445
101,1904,United States,Gymnastics,9.0,7.0,9.0,12,12.0,10.0,12.0,29,137.0,199.0,0.6884422110552764
102,1904,United States,Roque,1.0,1.0,1.0,4,1.0,1.0,1.0,4,19.0,19.0,1.0
103,1904,United States,Rowing,1.0,1.0,1.0,4,5.0,5.0,4.0,14,19.0,86.0,0.22093023255813954
104,1904,United States,Swimming,3.0,3.0,4.0,9,10.0,10.0,10.0,19,57.0,169.0,0.33727810650887574
105,1904,United States,Tennis,1.0,1.0,1.0,4,2.0,2.0,3.0,18,19.0,51.0,0.37254901960784315
106,1904,United States,Weightlifting,1.0,2.0,0.0,3,2.0,2.0,2.0,5,20.0,35.0,0.5714285714285714
107,1904,United States,Wrestling,5.0,6.0,6.0,23,7.0,7.0,7.0,30,106.0,135.0,0.7851851851851852
108,1904,United States-1,Tennis,1.0,0.0,0.0,1,2.0,2.0,3.0,18,8.0,51.0,0.1568627450980392
109,1904,Vesper Boat Club,Rowing,1.0,0.0,0.0,1,5.0,5.0,4.0,14,8.0,86.0,0.09302325581395349
110,1904,Western Golf Association-1,Golf,1.0,0.0,0.0,1,2.0,2.0,2.0,9,8.0,39.0,0.20512820512820512
111,1904,Winnipeg Shamrocks-1,Lacrosse,1.0,0.0,0.0,1,1.0,1.0,1.0,3,8.0,18.0,0.4444444444444444
112,1906,Austria,Swimming,1.0,0.0,1.0,2,4.0,4.0,4.0,26,12.0,86.0,0.13953488372093023
113,1906,Austria,Weightlifting,1.0,1.0,0.0,1,2.0,2.0,3.0,10,13.0,43.0,0.3023255813953488
114,1906,Austria,Wrestling,1.0,2.0,1.0,6,4.0,4.0,4.0,26,26.0,86.0,0.3023255813953488
115,1906,Belgium,Fencing,2.0,0.0,1.0,3,8.0,8.0,7.0,33,20.0,150.0,0.13333333333333333
116,1906,Bucintoro Venezia,Rowing,2.0,0.0,0.0,1,6.0,6.0,5.0,23,15.0,110.0,0.13636363636363635
117,1906,Bucintoro Venezia-1,Rowing,1.0,0.0,0.0,1,6.0,6.0,5.0,23,8.0,110.0,0.07272727272727272
118,1906,Canada,Athletics,1.0,1.0,0.0,3,21.0,22.0,21.0,133,15.0,453.0,0.033112582781456956
119,1906,Denmark,Football,1.0,0.0,0.0,1,1.0,1.0,1.0,4,8.0,19.0,0.42105263157894735
120,1906,Denmark,Wrestling,2.0,1.0,1.0,3,4.0,4.0,4.0,26,25.0,86.0,0.29069767441860467
121,1906,Finland,Athletics,1.0,0.0,1.0,3,21.0,22.0,21.0,133,13.0,453.0,0.02869757174392936
122,1906,Finland,Wrestling,1.0,1.0,0.0,1,4.0,4.0,4.0,26,13.0,86.0,0.1511627906976744
123,1906,France,Athletics,1.0,0.0,0.0,8,21.0,22.0,21.0,133,15.0,453.0,0.033112582781456956
124,1906,France,Cycling,1.0,2.0,4.0,6,6.0,6.0,6.0,29,35.0,119.0,0.29411764705882354
125,1906,France,Fencing,3.0,1.0,1.0,4,8.0,8.0,7.0,33,33.0,150.0,0.22
126,1906,France,Gymnastics,2.0,0.0,2.0,3,4.0,4.0,4.0,21,23.0,81.0,0.2839506172839506
127,1906,France,Rowing,1.0,1.0,0.0,2,6.0,6.0,5.0,23,14.0,110.0,0.12727272727272726
128,1906,France,Shooting,4.0,3.0,5.0,7,12.0,12.0,12.0,40,65.0,220.0,0.29545454545454547
129,1906,France,Tennis,3.0,1.0,0.0,4,4.0,4.0,4.0,19,30.0,79.0,0.379746835443038
130,1906,Germany,Diving,1.0,1.0,0.0,3,1.0,1.0,1.0,9,15.0,24.0,0.625
131,1906,Germany,Fencing,2.0,2.0,0.0,3,8.0,8.0,7.0,33,27.0,150.0,0.18
132,1906,Germany,Tug-Of-War,1.0,0.0,0.0,1,1.0,1.0,1.0,4,8.0,19.0,0.42105263157894735
133,1906,Great Britain,Athletics,3.0,5.0,1.0,13,21.0,22.0,21.0,133,62.0,453.0,0.1368653421633554
134,1906,Great Britain,Cycling,2.0,3.0,0.0,4,6.0,6.0,6.0,29,33.0,119.0,0.2773109243697479
135,1906,Great Britain,Shooting,2.0,0.0,2.0,2,12.0,12.0,12.0,40,22.0,220.0,0.1
136,1906,Great Britain,Swimming,1.0,2.0,2.0,4,4.0,4.0,4.0,26,27.0,86.0,0.313953488372093
137,1906,Greece,Athletics,1.0,2.0,4.0,19,21.0,22.0,21.0,133,48.0,453.0,0.10596026490066225
138,1906,Greece,Fencing,1.0,2.0,1.0,4,8.0,8.0,7.0,33,24.0,150.0,0.16
139,1906,Greece,Gymnastics,1.0,0.0,1.0,5,4.0,4.0,4.0,21,15.0,81.0,0.18518518518518517
140,1906,Greece,Shooting,2.0,3.0,3.0,13,12.0,12.0,12.0,40,51.0,220.0,0.2318181818181818
141,1906,Greece,Tennis,1.0,1.0,1.0,5,4.0,4.0,4.0,19,20.0,79.0,0.25316455696202533
142,1906,Greece,Weightlifting,1.0,0.0,0.0,3,2.0,2.0,3.0,10,10.0,43.0,0.23255813953488372
143,1906,Hungary,Athletics,1.0,3.0,1.0,9,21.0,22.0,21.0,133,34.0,453.0,0.07505518763796909
144,1906,Hungary,Swimming,1.0,1.0,0.0,4,4.0,4.0,4.0,26,16.0,86.0,0.18604651162790697
145,1906,Italy,Cycling,3.0,0.0,0.0,3,6.0,6.0,6.0,29,24.0,119.0,0.20168067226890757
146,1906,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,1.0,0.0,0.0,1,6.0,6.0,5.0,23,8.0,110.0,0.07272727272727272
147,1906,"Marinai della nave da guerra ""Varese""",Rowing,1.0,0.0,1.0,2,6.0,6.0,5.0,23,12.0,110.0,0.10909090909090909
148,1906,Norway,Gymnastics,1.0,0.0,0.0,1,4.0,4.0,4.0,21,8.0,81.0,0.09876543209876543
149,1906,Sweden,Athletics,2.0,4.0,5.0,12,21.0,22.0,21.0,133,61.0,453.0,0.1346578366445916
150,1906,Switzerland,Shooting,4.0,3.0,1.0,5,12.0,12.0,12.0,40,51.0,220.0,0.2318181818181818
151,1906,United States,Athletics,11.0,5.0,6.0,20,21.0,22.0,21.0,133,140.0,453.0,0.3090507726269316
152,1906,United States,Swimming,1.0,0.0,0.0,4,4.0,4.0,4.0,26,11.0,86.0,0.12790697674418605
153,1908,Australasia,Rugby,1.0,0.0,0.0,1,1.0,1.0,0.0,2,8.0,14.0,0.5714285714285714
154,1908,Belgium,Shooting,1.0,2.0,0.0,5,15.0,15.0,15.0,72,22.0,297.0,0.07407407407407407
155,1908,Camille,Motorboating,1.0,0.0,0.0,1,3.0,0.0,0.0,6,8.0,27.0,0.2962962962962963
156,1908,Canada,Athletics,1.0,1.0,4.0,13,26.0,27.0,25.0,212,37.0,604.0,0.061258278145695365
157,1908,Canada,Lacrosse,1.0,0.0,0.0,1,1.0,1.0,0.0,2,8.0,14.0,0.5714285714285714
158,1908,Canada,Shooting,1.0,2.0,1.0,5,15.0,15.0,15.0,72,25.0,297.0,0.08417508417508418
159,1908,Cobweb-1,Sailing,1.0,0.0,0.0,1,4.0,3.0,2.0,13,8.0,62.0,0.12903225806451613
160,1908,Dormy-1,Sailing,1.0,0.0,0.0,1,4.0,3.0,2.0,13,8.0,62.0,0.12903225806451613
161,1908,England-1,Hockey,1.0,0.0,0.0,1,1.0,1.0,2.0,6,8.0,24.0,0.3333333333333333
162,1908,Finland,Wrestling,1.0,1.0,1.0,4,9.0,9.0,9.0,59,19.0,194.0,0.0979381443298969
163,1908,France,Archery,1.0,1.0,1.0,5,3.0,3.0,3.0,13,20.0,58.0,0.3448275862068966
164,1908,France,Cycling,1.0,2.0,2.0,6,6.0,6.0,6.0,36,29.0,126.0,0.23015873015873015
165,1908,France,Fencing,2.0,1.0,1.0,6,4.0,4.0,4.0,31,28.0,91.0,0.3076923076923077
166,1908,Germany,Diving,1.0,1.0,1.0,4,2.0,2.0,3.0,19,19.0,52.0,0.36538461538461536
167,1908,Germany,Figure Skating,1.0,1.0,0.0,2,4.0,4.0,4.0,17,14.0,77.0,0.18181818181818182
168,1908,Germany,Swimming,1.0,0.0,0.0,3,6.0,6.0,6.0,53,10.0,143.0,0.06993006993006994
169,1908,Great Britain,Archery,2.0,2.0,1.0,7,3.0,3.0,3.0,13,34.0,58.0,0.5862068965517241
170,1908,Great Britain,Athletics,7.0,7.0,3.0,33,26.0,27.0,25.0,212,126.0,604.0,0.20860927152317882
171,1908,Great Britain,Boxing,5.0,4.0,5.0,19,5.0,5.0,5.0,25,89.0,100.0,0.89
172,1908,Great Britain,Cycling,5.0,3.0,1.0,12,6.0,6.0,6.0,36,65.0,126.0,0.5158730158730159
173,1908,Great Britain,Figure Skating,1.0,1.0,2.0,6,4.0,4.0,4.0,17,24.0,77.0,0.3116883116883117
174,1908,Great Britain,Football,1.0,0.0,0.0,1,1.0,1.0,1.0,6,8.0,21.0,0.38095238095238093
175,1908,Great Britain,Racquets,1.0,1.0,1.0,4,2.0,2.0,2.0,4,19.0,34.0,0.5588235294117647
176,1908,Great Britain,Rowing,1.0,1.0,0.0,2,4.0,4.0,8.0,21,14.0,93.0,0.15053763440860216
177,1908,Great Britain,Shooting,5.0,7.0,7.0,21,15.0,15.0,15.0,72,112.0,297.0,0.3771043771043771
178,1908,Great Britain,Swimming,4.0,2.0,1.0,9,6.0,6.0,6.0,53,50.0,143.0,0.34965034965034963
179,1908,Great Britain,Tennis,4.0,3.0,3.0,9,6.0,6.0,6.0,31,61.0,121.0,0.5041322314049587
180,1908,Great Britain,Water Polo,1.0,0.0,0.0,1,1.0,1.0,1.0,4,8.0,19.0,0.42105263157894735
181,1908,Great Britain,Wrestling,3.0,4.0,4.0,16,9.0,9.0,9.0,59,69.0,194.0,0.3556701030927835
182,1908,Great Britain-1,Racquets,1.0,0.0,0.0,1,2.0,2.0,2.0,4,8.0,34.0,0.23529411764705882
183,1908,Great Britain-1,Shooting,1.0,0.0,0.0,1,15.0,15.0,15.0,72,8.0,297.0,0.026936026936026935
184,1908,Great Britain-1,Tennis,2.0,0.0,0.0,2,6.0,6.0,6.0,31,16.0,121.0,0.1322314049586777
185,1908,Gyrinus-1,Motorboating,2.0,0.0,0.0,1,3.0,0.0,0.0,6,15.0,27.0,0.5555555555555556
186,1908,Hera-1,Sailing,1.0,0.0,0.0,1,4.0,3.0,2.0,13,8.0,62.0,0.12903225806451613
187,1908,Heroine,Sailing,1.0,0.0,0.0,1,4.0,3.0,2.0,13,8.0,62.0,0.12903225806451613
188,1908,Hungary,Fencing,2.0,1.0,0.0,4,4.0,4.0,4.0,31,23.0,91.0,0.25274725274725274
189,1908,Hungary,Wrestling,1.0,0.0,0.0,5,9.0,9.0,9.0,59,12.0,194.0,0.061855670103092786
190,1908,Italy,Gymnastics,1.0,0.0,0.0,3,2.0,2.0,2.0,21,10.0,51.0,0.19607843137254902
191,1908,Italy,Wrestling,1.0,0.0,0.0,1,9.0,9.0,9.0,59,8.0,194.0,0.041237113402061855
192,1908,Leander Club #1-1,Rowing,1.0,0.0,0.0,1,4.0,4.0,8.0,21,8.0,93.0,0.08602150537634409
193,1908,Leander Club-1,Rowing,1.0,0.0,0.0,1,4.0,4.0,8.0,21,8.0,93.0,0.08602150537634409
194,1908,London City Police-1,Tug-Of-War,1.0,0.0,0.0,1,1.0,1.0,1.0,5,8.0,20.0,0.4
195,1908,Magdalen College Boat Club-1,Rowing,1.0,0.0,0.0,1,4.0,4.0,8.0,21,8.0,93.0,0.08602150537634409
196,1908,Norway,Shooting,2.0,0.0,1.0,4,15.0,15.0,15.0,72,21.0,297.0,0.0707070707070707
197,1908,Roehampton-1,Polo,1.0,0.0,0.0,1,1.0,2.0,0.0,3,8.0,20.0,0.4
198,1908,Russia,Figure Skating,1.0,0.0,0.0,1,4.0,4.0,4.0,17,8.0,77.0,0.1038961038961039
199,1908,South Africa,Athletics,1.0,1.0,0.0,5,26.0,27.0,25.0,212,17.0,604.0,0.028145695364238412
200,1908,Sweden,Athletics,2.0,0.0,3.0,20,26.0,27.0,25.0,212,43.0,604.0,0.07119205298013245
201,1908,Sweden,Diving,1.0,1.0,1.0,5,2.0,2.0,3.0,19,20.0,52.0,0.38461538461538464
202,1908,Sweden,Figure Skating,1.0,1.0,1.0,4,4.0,4.0,4.0,17,19.0,77.0,0.24675324675324675
203,1908,Sweden,Gymnastics,1.0,0.0,0.0,1,2.0,2.0,2.0,21,8.0,51.0,0.1568627450980392
204,1908,Sweden,Shooting,2.0,2.0,1.0,7,15.0,15.0,15.0,72,34.0,297.0,0.11447811447811448
205,1908,Sweden,Wrestling,1.0,1.0,0.0,6,9.0,9.0,9.0,59,18.0,194.0,0.09278350515463918
206,1908,United States,Athletics,15.0,10.0,8.0,38,26.0,27.0,25.0,212,217.0,604.0,0.35927152317880795
207,1908,United States,Jeu De Paume,1.0,0.0,0.0,2,1.0,1.0,1.0,5,9.0,20.0,0.45
208,1908,United States,Shooting,3.0,2.0,1.0,7,15.0,15.0,15.0,72,41.0,297.0,0.13804713804713806
209,1908,United States,Swimming,1.0,0.0,1.0,5,6.0,6.0,6.0,53,15.0,143.0,0.1048951048951049
210,1908,United States,Wrestling,2.0,0.0,0.0,5,9.0,9.0,9.0,59,19.0,194.0,0.0979381443298969
211,1912,Australasia,Swimming,2.0,2.0,2.0,7,9.0,9.0,9.0,68,37.0,203.0,0.18226600985221675
212,1912,Belgium,Fencing,2.0,0.0,1.0,3,5.0,5.0,5.0,43,20.0,118.0,0.1694915254237288
213,1912,Canada,Athletics,1.0,2.0,2.0,12,32.0,30.0,31.0,262,35.0,729.0,0.04801097393689986
214,1912,Canada,Swimming,2.0,0.0,0.0,1,9.0,9.0,9.0,68,15.0,203.0,0.07389162561576355
215,1912,Finland,Athletics,6.0,4.0,3.0,19,32.0,30.0,31.0,262,90.0,729.0,0.12345679012345678
216,1912,Finland,Wrestling,3.0,2.0,2.0,12,4.0,6.0,5.0,74,49.0,147.0,0.3333333333333333
217,1912,France,Equestrianism,1.0,1.0,1.0,2,5.0,5.0,5.0,26,17.0,101.0,0.16831683168316833
218,1912,France,Shooting,2.0,0.0,0.0,9,18.0,18.0,18.0,94,23.0,364.0,0.06318681318681318
219,1912,France,Tennis,3.0,0.0,2.0,5,8.0,8.0,8.0,51,32.0,171.0,0.1871345029239766
220,1912,Germany,Art Competitions,1.0,0.0,0.0,2,5.0,1.0,0.0,25,9.0,65.0,0.13846153846153847
221,1912,Germany,Diving,1.0,2.0,1.0,4,4.0,4.0,4.0,26,24.0,86.0,0.27906976744186046
222,1912,Germany,Swimming,2.0,3.0,2.0,10,9.0,9.0,9.0,68,45.0,203.0,0.22167487684729065
223,1912,Germany,Tennis,1.0,1.0,1.0,3,8.0,8.0,8.0,51,18.0,171.0,0.10526315789473684
224,1912,Great Britain,Athletics,2.0,1.0,5.0,20,32.0,30.0,31.0,262,54.0,729.0,0.07407407407407407
225,1912,Great Britain,Football,1.0,0.0,0.0,1,1.0,1.0,1.0,11,8.0,26.0,0.3076923076923077
226,1912,Great Britain,Rowing,1.0,0.0,0.0,1,4.0,4.0,6.0,37,8.0,103.0,0.07766990291262135
227,1912,Great Britain,Shooting,1.0,4.0,4.0,11,18.0,18.0,18.0,94,50.0,364.0,0.13736263736263737
